date,	     name,	                                  type
2019-04-Mar, Carnival,	                            National holiday
2019-05-Mar, Carnival,	                            National holiday
2019-20-Mar, March Equinox,	                        Season
2019-18-Apr, Maundy Thursday,                       Observance 
2019-19-Apr, Good Friday,                           National holiday 
2019-20-Apr, Holy Saturday,                         Observance 
2019-01-Jan, New Year's Day,	                      National holiday
2019-21-Apr, Easter Sunday,                         Observance 
2019-01-May, Labor Day / May Day,                   National holiday
2019-03-May, Day off for Labor Day / May Day,       National holiday
2019-21-Jun, June Solstice,                         Season
2019-24-Jul, Simón Bolívar's Birthday Memorial,	    Observance
2019-09-Aug, Day off for Independence Day,          National holiday
2019-10-Aug, Independence Day,                      National holiday
2019-23-Sep, September Equinox,	                    Season
2019-11-Oct, Independence of Guayaquil,             National holiday
2019-01-Nov, Day off for All Souls' Day,            National holiday
2019-02-Nov, All Souls' Day,                        National holiday
2019-03-Nov, Independence of Cuenca,                National holiday
2019-04-Nov, Day off for Independence of Cuenca,    National holiday
2019-06-Dec, Foundation of Quito,                   Local holiday
2019-21-Dec, December Solstice,                     Season
2019-25-Dec, Christmas Day,                         National holiday 
2019-30-Dec, New Year's Eve extra holiday,          National holiday
2019-31-Dec, New Year's Eve,                        National holiday
2022-01-Jan, New Year's Day,                        National holiday
2022-28-Feb, Carnival,                              National holiday
2022-01-Mar, Carnival,                              National holiday
2022-20-Mar, March Equinox,	                        Season
2022-14-Apr, Maundy Thursday,                       Observance 
2022-15-Apr, Good Friday,                           National holiday 
2022-16-Apr, Holy Saturday,                         Observance 
2022-17-Apr, Easter Sunday,                         Observance 
2022-01-May, Labor Day / May Day,                   National holiday
2022-02-May, Day off for Labor Day / May Day,       National holiday
2022-23-May, The Battle of Pichincha Holiday,       National holiday
2022-24-May, The Battle of Pichincha,	              Observance
2022-21-Jun, June Solstice,	                        Season
2022-24-Jul, Simón Bolívar's Birthday Memorial,	    Observance
2022-10-Aug, Independence Day,	                    Observance
2022-12-Aug, Day off for Independence Day,          National holiday
2022-22-Sep, September Equinox,	                    Season
2022-09-Oct, Independence of Guayaquil,             National holiday
2022-10-Oct, Day off for Independence of Guayaquil, National holiday
2022-02-Nov, All Souls' Day,	                      Observance
2022-03-Nov, Independence of Cuenca,                National holiday
2022-04-Nov, Day off for All Souls' Day,            National holiday
2022-05-Dec, Holiday for Foundation of Quito,	      Local holiday
2022-06-Dec, Foundation of Quito,                   Local holiday
2022-06-Dec, Foundation of Quito,                   Observance
2022-21-Dec, December Solstice,                     Season
2022-25-Dec, Christmas Day,                         National holiday 
2022-31-Dec, New Year's Eve,                        Observance 
