date,	        weekday,    name,	                                 type
2019-04-Mar,	Monday,	    Carnival,	                             National holiday
2019-05-Mar,	Tuesday,	  Carnival,	                             National holiday
2019-20-Mar,	Wednesday,	March Equinox,	                       Season
2019-18-Apr,	Thursday,	  Maundy Thursday,                       Observance 
2019-19-Apr,	Friday,	    Good Friday,                           National holiday 
2019-20-Apr,	Saturday,	  Holy Saturday,                         Observance 
2019-01-Jan,	Tuesday,	  New Year's Day,	                       National holiday
2019-21-Apr,	Sunday,	    Easter Sunday,                         Observance 
2019-01-May,	Wednesday,	Labor Day / May Day,                   National holiday
2019-03-May,	Friday,	    Day off for Labor Day / May Day,       National holiday
2019-21-Jun,	Friday,	    June Solstice,                         Season
2019-24-Jul,	Wednesday,	Simón Bolívar's Birthday Memorial,	   Observance
2019-09-Aug,	Friday,	    Day off for Independence Day,          National holiday
2019-10-Aug,	Saturday,	  Independence Day,                      National holiday
2019-23-Sep,	Monday,	    September Equinox,	                   Season
2019-11-Oct,	Friday,	    Independence of Guayaquil,             National holiday
2019-01-Nov,	Friday,	    Day off for All Souls' Day,            National holiday
2019-02-Nov,	Saturday,	  All Souls' Day,                        National holiday
2019-03-Nov,	Sunday,	    Independence of Cuenca,                National holiday
2019-04-Nov,	Monday,	    Day off for Independence of Cuenca,    National holiday
2019-06-Dec,	Friday,	    Foundation of Quito,                   Local holiday
2019-21-Dec,	Saturday,	  December Solstice,                     Season
2019-25-Dec,	Wednesday,	Christmas Day,                         National holiday 
2019-30-Dec,	Monday,	    New Year's Eve extra holiday,          National holiday
2019-31-Dec,	Tuesday,	  New Year's Eve,                        National holiday
2022-01-Jan,	Saturday,	  New Year's Day,                        National holiday
2022-28-Feb,	Monday,	    Carnival,                              National holiday
2022-01-Mar,	Tuesday,	  Carnival,                              National holiday
2022-20-Mar,	Sunday,	    March Equinox,	                       Season
2022-14-Apr,	Thursday,	  Maundy Thursday,                       Observance 
2022-15-Apr,	Friday,	    Good Friday,                           National holiday 
2022-16-Apr,	Saturday,	  Holy Saturday,                         Observance 
2022-17-Apr,	Sunday,	    Easter Sunday,                         Observance 
2022-01-May,	Sunday,	    Labor Day / May Day,                   National holiday
2022-02-May,	Monday,	    Day off for Labor Day / May Day,       National holiday
2022-23-May,	Monday,	    The Battle of Pichincha Holiday,       National holiday
2022-24-May,	Tuesday,	  The Battle of Pichincha,	             Observance
2022-21-Jun,	Tuesday,	  June Solstice,	                       Season
2022-24-Jul,	Sunday,	    Simón Bolívar's Birthday Memorial,	   Observance
2022-10-Aug,	Wednesday,	Independence Day,	                     Observance
2022-12-Aug,	Friday,	    Day off for Independence Day,          National holiday
2022-22-Sep,	Thursday,	  September Equinox,	                   Season
2022-09-Oct,	Sunday,	    Independence of Guayaquil,             National holiday
2022-10-Oct,	Monday,	    Day off for Independence of Guayaquil, National holiday
2022-02-Nov,	Wednesday,	All Souls' Day,	                       Observance
2022-03-Nov,	Thursday,	  Independence of Cuenca,                National holiday
2022-04-Nov,	Friday,	    Day off for All Souls' Day,            National holiday
2022-05-Dec,	Monday,	    Holiday for Foundation of Quito,	     Local holiday
2022-06-Dec,	Tuesday,	  Foundation of Quito,                   Local holiday
2022-06-Dec,	Tuesday,	  Foundation of Quito,                   Observance
2022-21-Dec,	Wednesday,	December Solstice,                     Season
2022-25-Dec,	Sunday,	    Christmas Day,                         National holiday 
2022-31-Dec,	Saturday,	  New Year's Eve,                        Observance
